Title,Categoria,Temporada,Episodio,Date
Dirk Gently's Holistic Detective Agency: Temporada 1: Entusiastas,,,,16/03/2019
Dirk Gently's Holistic Detective Agency: Temporada 1: Achados e perdidos,,,,16/03/2019
Dirk Gently's Holistic Detective Agency: Temporada 1: Horizontes,,,,16/03/2019
Dirk Gently's Holistic Detective Agency: Temporada 1: Watkin,,,,12/03/2019
O Menino que Descobriu o Vento,,,,11/03/2019
Next Gen,,,,04/03/2019
The Umbrella Academy: Temporada 1: O dia que aconteceu,,,,03/03/2019
The Umbrella Academy: Temporada 1: O dia que nÃ£o aconteceu,,,,03/03/2019
The Umbrella Academy: Temporada 1: NÃºmero Cinco,,,,03/03/2019
The Umbrella Academy: Temporada 1: Sentado na Lua,,,,03/03/2019
The Umbrella Academy: Temporada 1: Comum (sÃ³ que nÃ£o),,,,25/02/2019
"The Umbrella Academy: Temporada 1: Corre, cara, corre",,,,25/02/2019
The Umbrella Academy: Temporada 1: A gente sÃ³ se encontra em casamentos e funerais,,,,17/02/2019
Velvet Buzzsaw,,,,13/02/2019
Sex Education: Temporada 1: EpisÃ³dio 6,,,,13/02/2019
Sex Education: Temporada 1: EpisÃ³dio 5,,,,13/02/2019
Sex Education: Temporada 1: EpisÃ³dio 4,,,,12/02/2019
O Lagosta,,,,09/02/2019
Como Estrelas na Terra,,,,09/02/2019
Sex Education: Temporada 1: EpisÃ³dio 3,,,,07/02/2019
Sex Education: Temporada 1: EpisÃ³dio 2,,,,07/02/2019
Sex Education: Temporada 1: EpisÃ³dio 1,,,,06/02/2019
Rocco,,,,05/02/2019
TitÃ£s: Temporada 1: TitÃ£s,,,,03/02/2019
Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: Imprisoned,,,,17/01/2019
Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The King of Omashu,,,,17/01/2019
Lilo & Stitch,,,,17/01/2019
O Chefinho - De Volta aos NegÃ³cios: Temporada 2: FedorÃªncia,,,,17/01/2019
O Chefinho - De Volta aos NegÃ³cios: Temporada 2: CorporaÃ§Ã£o CrianÃ§as Super Legais,,,,17/01/2019
O Chefinho - De Volta aos NegÃ³cios: Temporada 2: Quando se Trocam as Fraldas,,,,17/01/2019
O Chefinho - De Volta aos NegÃ³cios: Temporada 1: Seis gatinhos bem posicionados,,,,17/01/2019
Baki - O CampeÃ£o: Temporada 1: Part 1: Sincronicidade,,,,05/01/2019
One-Punch Man: Temporada 1: O cientista obstinado,,,,05/01/2019
Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Warriors of Kyoshi,,,,05/01/2019
Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Southern Air Temple,,,,05/01/2019
Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Avatar Returns: Parte 2,,,,05/01/2019
Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Boy in the Iceberg: The Avatar Returns: Parte 1,,,,05/01/2019
RuPaul's Drag Race: All Stars: Temporada 4: Show de Variedades da ConstelaÃ§Ã£o das Grandes Estrelas,,,,02/01/2019
12 Horas Para Sobreviver: O Ano da EleiÃ§Ã£o,,,,01/01/2019
Hush - A Morte Ouve,,,,01/01/2019
"Murilo Couto - Eu, eu, Murilo",,,,01/01/2019
Hannah Gadsby: Nanette,,,,01/01/2019
Rodrigo Capella: Nao Recomendado Pra Sociedade,,,,01/01/2019
ADAM SANDLER 100% FRESH,,,,01/01/2019
A MaldiÃ§Ã£o da ResidÃªncia Hill: The Haunting of Hill House: Steven vÃª um fantasma,,,,29/12/2018
Mary Poppins,,,,29/12/2018
Ela Ã Demais Para Mim,,,,29/12/2018
Black Mirror: Bandersnatch,,,,29/12/2018
IrmaÌo do Jorel: Temporada 1: O Ataque Dos Piolhos Malditos,,,,24/12/2018
IrmaÌo do Jorel: Temporada 1: Expressividade MaÌxima,,,,24/12/2018
"IrmaÌo do Jorel: Temporada 1: A HistoÌria Sem ComecÌ§o, Meio E Fim",,,,24/12/2018
IrmaÌo do Jorel: Temporada 1: A Perigosa Lambada Brutal,,,,24/12/2018
IrmaÌo do Jorel: Temporada 1: O MisteÌrio Dos Bilhetinhos Ultra-Secretos,,,,24/12/2018
IrmaÌo do Jorel: Temporada 1: Jornal Do Quintal,,,,24/12/2018
IrmaÌo do Jorel: Temporada 1: NaÌo Tenha Medo Do Seu Medo,,,,24/12/2018
IrmaÌo do Jorel: Temporada 1: Clube Da Luta Livre,,,,24/12/2018
IrmaÌo do Jorel: Temporada 1: Gangorras Da RevolucÌ§aÌo,,,,24/12/2018
IrmaÌo do Jorel: Temporada 1: O Fenomenal Capacete Com Rodinhas,,,,24/12/2018
Bird Box,,,,23/12/2018
Barbie Life in the Dreamhouse: Temporada 1: Presa no armÃ¡rio,,,,23/12/2018
Rick and Morty: Temporada 3: A Rickapunhalada RicksalvaÃ§Ã£o,,,,23/12/2018
Lucifer: Temporada 2: Destruidor de lares,,,,23/12/2018
Lucifer: Temporada 2: A trilha das punhaladas,,,,21/12/2018
Lucifer: Temporada 2: Minha filha querida,,,,21/12/2018
Lucifer: Temporada 2: Eu sou um monstro,,,,21/12/2018
Lucifer: Temporada 2: Arma pesada,,,,21/12/2018
Lucifer: Temporada 2: Partes Ã­ntimas,,,,20/12/2018
Lucifer: Temporada 2: Engolidor de pecados,,,,20/12/2018
Lucifer: Temporada 2: Mentira cabeluda,,,,20/12/2018
Lucifer: Temporada 2: Direto do Inferno,,,,20/12/2018
O homem que viu o infinito,,,,18/12/2018
A Garota Dinamarquesa,,,,18/12/2018
The Last Kingdom: Temporada 1: EpisÃ³dio 2,,,,17/12/2018
Trotsky: Temporada 1: EpisÃ³dio 3,,,,17/12/2018
Trotsky: Temporada 1: EpisÃ³dio 2,,,,17/12/2018
Trotsky: Temporada 1: EpisÃ³dio 1,,,,17/12/2018
Amor Ocasional: Temporada 1: O plano decisivo,,,,14/12/2018
Amor Ocasional: Temporada 1: O plano solitÃ¡rio,,,,14/12/2018
Amor Ocasional: Temporada 1: O plano meia-boca,,,,14/12/2018
Amor Ocasional: Temporada 1: O plano da festa,,,,14/12/2018
Amor Ocasional: Temporada 1: O plano amoroso,,,,14/12/2018
Amor Ocasional: Temporada 1: O plano genial,,,,14/12/2018
Amor Ocasional: Temporada 1: O plano desleixado,,,,14/12/2018
Amor Ocasional: Temporada 1: O plano secreto,,,,14/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 2: Mantenha-se hidratado",,,,14/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 2: Novas bolas",,,,14/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 2: Frantisek Kotzwara",,,,14/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 2: MudanÃ§a repentina",,,,14/12/2018
O MÃ©todo Kominsky: Temporada 1: CapÃ­tulo 1: Um ator evita,,,,14/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 1: Canja de galinha caipira",,,,10/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 1: Modo aviÃ£o",,,,10/12/2018
Mogli - Entre Dois Mundos,,,,08/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 1: O grÃ£o dourado",,,,07/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 1: Janina Kolkiewicz",,,,07/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 1: Continue jogando",,,,07/12/2018
"DÃ¡ LicenÃ§a, SaÃºde: Temporada 1: Rainha de copas",,,,07/12/2018
Cam,,,,07/12/2018
22 de Julho,,,,29/11/2018
O Turista,,,,29/11/2018
Vai Anitta: Temporada 1: EpisÃ³dio 1,,,,23/11/2018
O FeitiÃ§o do Natal,,,,17/11/2018
RuPaul's Drag Race: Temporada 9: Catou o que era dela e lacrou,,,,28/10/2018
RuPaul's Drag Race: Temporada 9: Ai minha Santa Gaga!,,,,28/10/2018
The Good Place: Temporada 1: O grito eterno,,,,19/10/2018
OperaÃ§Ã£o Final,,,,12/10/2018
Bastardos InglÃ³rios,,,,08/10/2018
Ele estÃ¡ de volta,,,,08/10/2018
Sierra Burgess Ã© uma Loser,,,,07/10/2018
Homem-Formiga,,,,07/10/2018
Felicidade por um Fio,,,,07/10/2018
Barbie Butterfly e a Princesa Fairy,,,,07/10/2018
Barbie Fairytopia - Mermaidia,,,,07/10/2018
O Fabuloso Destino de AmÃ©lie Poulain,,,,07/09/2018
Nuestros Amantes,,,,05/09/2018
Explicando: Temporada 1: O orgasmo feminino,,,,03/09/2018
Clair Obscur,,,,03/09/2018
VestÃ­gios do Dia,,,,03/09/2018
The Discovery,,,,02/09/2018
Better Call Saul: Temporada 4: Fale,,,,01/09/2018
Lore,,,,01/09/2018
O Autor,,,,30/08/2018
(Des)encanto: Parte 1: Ao vosso elfo sejais verdadeiro,,,,29/08/2018
(Des)encanto: Parte 1: Os limites da imortalidade,,,,29/08/2018
(Des)encanto: Parte 1: Problemas do coraÃ§Ã£o,,,,29/08/2018
(Des)encanto: Parte 1: PÃ¢ntano e circunstÃ¢ncia,,,,29/08/2018
"(Des)encanto: Parte 1: Vai, princesa! Mata! Mata!",,,,29/08/2018
(Des)encanto: Parte 1: Festa no castelo (com massacre),,,,28/08/2018
InvisÃ­vel,,,,28/08/2018
(Des)encanto: Parte 1: A princesa da escuridÃ£o,,,,27/08/2018
(Des)encanto: Parte 1: Por quem o porco grunhe,,,,26/08/2018
DiÃ¡rio de uma Camareira,,,,26/08/2018
Better Call Saul: Temporada 4: Algo lindo,,,,26/08/2018
RefÃ©m da PaixÃ£o,,,,26/08/2018
NÃ£o Olhe Para TrÃ¡s,,,,25/08/2018
Insatiable: Temporada 1: WMBS,,,,25/08/2018
Insatiable: Temporada 1: Miss Vaqueira Sem Sela,,,,25/08/2018
Insatiable: Temporada 1: A magreza Ã© mÃ¡gica,,,,25/08/2018
Insatiable: Temporada 1: Piloto,,,,25/08/2018
"(Des)encanto: Parte 1: Uma princesa, um elfo e um diabo entram num bar",,,,24/08/2018
A Sociedade LiterÃ¡ria e a Torta de Casca de Batata,,,,21/08/2018
Explicando: Temporada 1: A diferenÃ§a de riqueza entre brancos e negros,,,,21/08/2018
Better Call Saul: Temporada 4: Respire,,,,19/08/2018
Better Call Saul: Temporada 4: FumaÃ§a,,,,19/08/2018
Sociedade dos poetas mortos,,,,17/08/2018
O Protetor,,,,06/08/2018
Explicando: Temporada 1: Tatuagens,,,,05/08/2018
NOVA: Hackers da MemÃ³ria,,,,05/08/2018
Explicando: Temporada 1: !,,,,04/08/2018
Explicando: Temporada 1: Vida extraterrestre,,,,04/08/2018
Explicando: Temporada 1: Maconha,,,,04/08/2018
O CaÃ§ador e a Rainha do Gelo,,,,04/08/2018
Explicando: Temporada 1: CrÃ­quete,,,,03/08/2018
Minimalism: A Documentary About the Important Things,,,,03/08/2018
Sr. Sherlock Holmes,,,,03/08/2018
Yoga - Arquitetura da Paz,,,,03/08/2018
"Para Roma, com amor",,,,01/08/2018
Atypical: Temporada 1: A caracterÃ­stica silenciadora da neve,,,,30/07/2018
ExtinÃ§Ã£o,,,,30/07/2018
Atypical: Temporada 1: Esse moletom Ã© meu,,,,30/07/2018
Atypical: Temporada 1: Hora de agasalhar o croquete,,,,30/07/2018
Atypical: Temporada 1: O pobre AlmÃ´ndega morreu,,,,30/07/2018
Explicando: Temporada 1: DNA projetado,,,,29/07/2018
Atypical: Temporada 1: Uma fÃªmea humana,,,,29/07/2018
Atypical: Temporada 1: AntÃ¡rtida,,,,29/07/2018
It's Now or Never,,,,28/07/2018
February,,,,28/07/2018
Um Contratempo,,,,28/07/2018
Apenas Duas Noites,,,,28/07/2018
Perdas e Danos,,,,28/07/2018
Tomorrowland: Um Lugar Onde nada Ã ImpossÃ­vel,,,,27/07/2018
Onde os fracos nÃ£o tÃªm vez,,,,27/07/2018
O Aviso,,,,24/07/2018
BoJack Horseman: Temporada 1: A trama A virou trama D,,,,24/07/2018
"BoJack Horseman: Temporada 1: Corra Diane Nguyen, corra",,,,24/07/2018
BoJack Horseman: Temporada 1: Entre Zoe e Zelda,,,,24/07/2018
A Sacada,,,,23/07/2018
Encalhados,,,,22/07/2018
BoJack Horseman: Temporada 1: A filha prÃ³diga,,,,18/07/2018
"BoJack Horseman: Temporada 1: BoJack, o traidor da pÃ¡tria",,,,18/07/2018
"BoJack Horseman: Temporada 1: Filho de cavalo, pÃ´nei Ã©",,,,17/07/2018
BoJack Horseman: Temporada 1: Cavalo com abalo,,,,17/07/2018
BoJack Horseman: Temporada 1: O telescÃ³pio,,,,17/07/2018
BoJack Horseman: Temporada 1: Diga qualquer coisa,,,,17/07/2018
"BoJack Horseman: Temporada 1: BoJack Horseman: Temporada 1: A histÃ³ria de BoJack, capÃ­tulo 1",,,,16/07/2018
Friends: Temporada 9: Aquele com o pediatra,,,,16/07/2018
Friends: Temporada 9: Aquele em que Emma chora,,,,16/07/2018
Os MercenÃ¡rios 3,,,,13/07/2018
Friends: Temporada 2: Aquele dos cinco bifes e uma berinjela,,,,12/07/2018
Friends: Temporada 2: Aquele com o marido da Phoebe,,,,12/07/2018
Friends: Temporada 2: Aquele em que Heckles morre,,,,12/07/2018
Friends: Temporada 2: Aquele do leite materno,,,,12/07/2018
Friends: Temporada 2: Aquele com a nova namorada do Ross,,,,12/07/2018
Friends: Temporada 2: Aquele em que Eddie se muda para o apartamento,,,,12/07/2018
Friends: Temporada 2: Aquele em que Joey sai do apartamento,,,,12/07/2018
Friends: Temporada 2: Aquele quando o Ross e a Rachel... sabe como Ã©,,,,12/07/2018
Friends: Temporada 2: Aquele com o vÃ­deo da formatura,,,,12/07/2018
Friends: Temporada 2: Aquele depois do Super Bowl: Parte 2,,,,12/07/2018
Friends: Temporada 2: Aquele depois do Super Bowl: Parte 1,,,,12/07/2018
Friends: Temporada 2: Aquele com o casamento lÃ©sbico,,,,12/07/2018
Friends: Temporada 2: Aquele com o Russ,,,,12/07/2018
Friends: Temporada 2: Aquele com o pai da Phoebe,,,,12/07/2018
Friends: Temporada 2: Aquele da lista,,,,11/07/2018
Friends: Temporada 2: Aquele em que Ross fica sabendo,,,,11/07/2018
Friends: Temporada 2: Aquele com o bebÃª no Ã´nibus,,,,10/07/2018
Friends: Temporada 4: Aquele do convite,,,,10/07/2018
Friends: Temporada 4: Aquele com todos os vestidos de noiva,,,,10/07/2018
Friends: Temporada 4: Aquele da pressa,,,,10/07/2018
Friends: Temporada 4: Aquele do vestido novo da Rachel,,,,10/07/2018
Friends: Temporada 4: Aquele com a pornografia de graÃ§a,,,,10/07/2018
Friends: Temporada 4: Aquele da festa de despedida,,,,10/07/2018
Friends: Temporada 4: Aquele do rugby,,,,10/07/2018
Friends: Temporada 4: Aquele sobre o dia sujo do Joey,,,,10/07/2018
Friends: Temporada 4: Aquele com a paquera da Rachel,,,,10/07/2018
Friends: Temporada 4: Aquele com os embriÃµes,,,,10/07/2018
Friends: Temporada 4: Aquele com o Ãºtero da Phoebe,,,,10/07/2018
Friends: Temporada 4: Aquele com a garota de Poughkeepsie,,,,10/07/2018
Friends: Temporada 4: Aquele em que eles vÃ£o se divertir,,,,10/07/2018
Friends: Temporada 4: Aquele do Chandler na caixa,,,,10/07/2018
Friends: Temporada 4: Aquele em que Chandler passa dos limites,,,,10/07/2018
Friends: Temporada 4: Aquele com a garota suja,,,,10/07/2018
Friends: Temporada 4: Aquele com a nova namorada do Joey,,,,10/07/2018
Friends: Temporada 4: Aquele da danÃ§a de salÃ£o,,,,10/07/2018
Friends: Temporada 4: Aquele com as algemas,,,,10/07/2018
Friends: Temporada 4: Aquele com o gato,,,,10/07/2018
Friends: Temporada 4: Aquele com a Ã¡gua-viva,,,,09/07/2018
Friends: Temporada 4: Aquele com o casamento do Ross: Parte 2,,,,09/07/2018
Friends: Temporada 4: Aquele com o casamento do Ross: Parte 1,,,,09/07/2018
Friends: Temporada 4: Aquele do pior padrinho de todos os tempos,,,,09/07/2018
Friends: Temporada 5: Aquele em Vegas: Parte 1,,,,09/07/2018
Friends: Temporada 5: Aquele com a grande chance do Joey,,,,09/07/2018
Friends: Temporada 5: Aquele da bola,,,,09/07/2018
Friends: Temporada 7: Aquele dos votos,,,,09/07/2018
Friends: Temporada 7: Aquele com o beijo da Rachel,,,,09/07/2018
Friends: Temporada 7: Aquele com a prima da Monica e do Ross,,,,09/07/2018
Friends: Temporada 7: Aquele com o prÃªmio do Joey,,,,09/07/2018
Friends: Temporada 7: Aquele do vestido de noiva barato,,,,09/07/2018
Friends: Temporada 7: Aquele da verdade sobre Londres,,,,09/07/2018
Friends: Temporada 7: Aquele com o novo cÃ©rebro do Joey,,,,09/07/2018
Friends: Temporada 7: Aquele em que todos fazem 30 anos,,,,09/07/2018
